SEQUENCE_NUM,DEVICE_ID,ALERT_TYPE_ID,POLICY_ID,SIGNATURE_ID,BEGIN_TIME,END_TIME,HIT_COUNT,SRC_IP_ADDR,SRC_IP_ADDR_HIGH,SRC_PORT,DST_IP_ADDR,DST_IP_ADDR_HIGH,DST_PORT,VIRTUAL_SEGMENT_INDEX,PHYSICAL_PORT_IN,VLAN_TAG,SEVERITY_ID,PACKET_TRACE,DEVICE_TRACE_BUCKET,DEVICE_TRACE_BEGIN_SEQ,DEVICE_TRACE_END_SEQ,MESSAGE_PARMS,QUARANTINE_ACTION,FLOW_CONTROL,ACTION_SET_UUID,ACTION_SET_NAME,RATE_LIMIT_RATE,CLIENT_IP_ADDR,CLIENT_IP_ADDR_HIGH,XFF_IP_ADDR,XFF_IP_ADDR_HIGH,TCIP_IP_ADDR,TCIP_IP_ADDR_HIGH,URI_METHOD,URI_HOST,URI_STRING,SRC_USER_NAME,SRC_DOMAIN,SRC_MACHINE,DST_USER_NAME,DST_DOMAIN,DST_MACHINE
36259317,dc649d31-10bd-11e7-8f8b-d93a405adbc5,1,15f9454d-f227-4555-bce2-0a3e4ea1b1e2,00000001-0001-0001-0001-000000017056,1582149938,1582150000625,29,175906577,0,19983,2899903184,0,443,20,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175906577,0,0,0,0,0,,,,,,,,,
73544603,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582150000,1582150000781,1,175767561,0,30459,234436685,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
267853844,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,8300ee53-e0f3-4589-a21b-aed2cba5292f,00000001-0001-0001-0001-000000017056,1582149925041,1582150001041,1,177354969,0,57613,175798792,0,8080,86,39,10,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,177354969,0,0,0,0,0,,,,,,,,,
223301738,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582149702,1582150001156,1,175864331,0,28805,3236274969,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
223301739,0036a850-10df-11e7-b47f-f8dc43e860d0,1,e826314c-e8c5-4824-91d2-4fff37d63b6c,00000001-0001-0001-0001-000000006900,1582149718,1582150001256,1,175864331,0,28805,3236274969,0,443,4,3,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
223301740,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150001,1582150001356,1,175864331,0,18209,2563179800,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
223301741,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150001,1582150001756,1,175864331,0,36571,601073670,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
223301742,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582149717,1582150001856,1,175848525,0,49616,3627735299,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175848525,0,0,0,0,0,,,,,,,,,
8371315,439cba3f-10df-11e7-ba97-d23349c17dae,1,6eb6a1ec-23f6-4df1-9ecb-ae7c7fff5afa,00000001-0001-0001-0001-000000004107,1582150001,1582150001901,1,175876990,0,33539,2730729759,0,6881,15,7,700,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175876990,0,0,0,0,0,,,,,,,,,
223301743,0036a850-10df-11e7-b47f-f8dc43e860d0,1,d6ce5755-f4e7-4c96-982c-fb1371e68551,00000001-0001-0001-0001-000000004107,1582150001,1582150001956,1,175876990,0,33539,2730729759,0,6881,4,4,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175876990,0,0,0,0,0,,,,,,,,,
